avg_nutrition_score,avg_toxicity_score,avg_processed_score,avg_hormonal_score,avg_overall_score,scan_frequency_weekly,scan_count,healthy_scan_ratio,high_toxicity_ratio,cosmetic_ratio,food_ratio,label
48,93,100,43,28,1,12,0.13,0.95,0.11,0.93,processed_food_heavy
95,40,29,39,71,1,14,0.65,0.34,0.33,0.79,healthy_trend
66,51,0,18,74,9,26,0.51,0.48,0.11221996143656858,0.4,balanced_user
61,46,63,75,44,6,13,0.15,0.57,0.2127666583894116,0.22,hormonal_risk
40,49,24,40,56,7,32,0.76,0.55,0.17,0.57,balanced_user
37,71,50,41,43,4,13,0.34,0.45,0.1,0.75,processed_food_heavy
14,67,73,36,34,12,43,0.55,0.83,0.14293925063590185,0.0,toxin_risk
21,100,47,12,40,6,25,0.16,1.0,0.06,0.68,toxin_risk
50,36,45,85,46,10,44,0.3,0.25,0.68,0.45,hormonal_risk
35,68,71,46,37,1,3,0.23,0.56,0.04,0.74,processed_food_heavy
66,65,45,74,45,11,48,0.19,0.55,0.5,0.37,hormonal_risk
95,69,47,18,65,13,58,0.69,0.81,0.3,0.7,healthy_trend
57,46,40,73,49,12,50,0.35,0.34,0.35521100954395907,0.73,hormonal_risk
46,82,56,83,31,10,39,0.29,0.6,0.84,0.66,hormonal_risk
81,74,73,68,41,3,11,0.31,0.85,0.17,0.65,processed_food_heavy
36,67,100,31,34,8,24,0.34,0.7,0.03,0.94,processed_food_heavy
54,37,30,68,54,11,39,0.54,0.13,0.58,0.49,hormonal_risk
90,14,47,27,75,9,40,0.87,0.0,0.0,0.0,healthy_trend
61,48,37,0,69,6,21,0.83,0.43,0.13,0.77,healthy_trend
73,18,26,57,68,11,47,0.79,0.12,0.11,0.82,healthy_trend
45,62,53,71,39,3,15,0.38,0.88,0.26471674827309116,0.23,hormonal_risk
75,51,66,28,57,8,29,0.37,0.67,0.19,0.4,balanced_user
69,19,24,32,73,4,21,0.49,0.09,0.036684705759567476,0.81,balanced_user
41,41,64,62,43,6,12,0.37,0.36,0.0,0.68,balanced_user
61,53,70,100,34,2,7,0.21,0.38,0.84,0.41,hormonal_risk
76,52,52,22,62,12,33,0.66,0.53,0.052819389351569795,0.47,balanced_user
60,100,18,24,54,4,29,0.21,1.0,0.0,0.93,toxin_risk
98,14,50,0,83,7,24,0.79,0.01,0.26,0.54,healthy_trend
42,100,35,37,42,8,35,0.41,1.0,0.05300120708889923,0.66,toxin_risk
56,49,22,30,63,18,80,0.6,0.63,0.37,0.72,healthy_trend
64,100,82,29,38,6,21,0.34,1.0,0.34,0.64,toxin_risk
54,59,38,82,43,2,5,0.33,0.61,0.3134096204524575,0.25,hormonal_risk
81,49,52,32,62,11,47,0.43,0.48,0.35,0.0,balanced_user
55,71,52,50,45,9,46,0.49,0.65,0.31,0.7,toxin_risk
46,62,56,78,37,3,9,0.15,0.78,0.65,0.69,hormonal_risk
45,71,51,30,48,4,14,0.4,0.48,0.2,0.79,toxin_risk
41,61,55,16,52,10,39,0.37,0.72,0.22,0.89,balanced_user
54,62,83,12,49,7,21,0.25,0.68,0.13,0.82,processed_food_heavy
67,52,58,12,61,7,38,0.22,0.53,0.0,0.48,toxin_risk
46,64,24,77,45,2,3,0.51,0.75,0.5170017398581178,0.69,hormonal_risk
86,30,43,56,64,14,59,0.76,0.36,0.26,0.69,balanced_user
55,69,78,54,38,4,17,0.23,0.44,0.19,0.83,processed_food_heavy
